Head_x,Head_y,ElbowRight_x,ElbowRight_y,ElbowLeft_x,ElbowLeft_y,HandRight_x,HandRight_y,HandLeft_x,HandLeft_y,KneeRight_x,KneeRight_y,KneeLeft_x,KneeLeft_y,FootRight_x,FootRight_y,FootLeft_x,FootLeft_y,SpineBase_x,SpineBase_y,SpineShoulder_x,SpineShoulder_y,
0.12396,-0.56956,-0.24495,-0.2622,0.24596,-0.25549,-0.11275,-0.14134,0.24736,-0.10616,-0.1561,0.23557,0.1538,0.1861,-0.0791,0.40715,0.08686,0.50132,-0.03346,-0.01546,0.03992,-0.38968,
0.13781,-0.60426,-0.23766,-0.24143,0.24358,-0.26052,-0.10953,-0.12601,0.14722,-0.27161,-0.19091,0.28253,0.16721,0.22279,-0.1199,0.38907,0.07375,0.51483,-0.00766,0.02945,0.03992,-0.38968,
0.11918,-0.64612,-0.21158,-0.26333,0.20486,-0.30094,-0.14026,-0.15271,0.27036,-0.47216,-0.1539,0.3107,0.1422,0.22481,-0.04689,0.65182,0.04929,0.48015,0.03894,0.02796,0.03992,-0.38968,
0.0936,-0.69193,-0.20217,-0.26967,0.22041,-0.29962,-0.15379,-0.11655,0.22352,-0.48504,-0.17274,0.33336,0.13718,0.23539,-0.04432,0.68333,0.29014,0.41985,0.06462,0.04805,0.03992,-0.38968,
0.11171,-0.70258,-0.24003,-0.29881,0.18423,-0.30699,-0.11886,-0.08231,0.2413,-0.48839,-0.20402,0.36404,0.13723,0.26719,-0.13197,0.70571,0.0877,0.71172,0.07876,0.01017,0.03992,-0.38968,
0.12349,-0.71684,-0.20651,-0.26792,0.18636,-0.30018,-0.12623,-0.11564,0.19423,-0.48238,-0.18443,0.34456,0.13906,0.26355,-0.12079,0.7163,0.07917,0.68576,0.09661,-0.03823,0.03992,-0.38968,
0.15893,-0.70474,-0.1956,-0.3283,0.16523,-0.29645,-0.35731,-0.10862,0.18629,-0.51,-0.16941,0.33133,0.11134,0.29895,-0.25969,0.6919,0.05471,0.67359,0.05234,-0.04176,0.03992,-0.38968,
0.20326,-0.74557,-0.19842,-0.35495,0.1833,-0.33387,-0.34778,-0.13173,0.07489,-0.25604,-0.21374,0.32877,0.13097,0.27414,-0.23076,0.63439,0.09835,0.69217,0.05553,-0.01086,0.03992,-0.38968,
0.22343,-0.76166,-0.17798,-0.37112,0.21726,-0.35298,-0.35955,-0.15365,0.09754,-0.21367,-0.2463,0.21791,0.08725,0.24667,-0.19995,0.65278,0.07818,0.6813,0.00876,0.02988,0.03992,-0.38968,
0.19882,-0.70408,-0.19712,-0.37105,0.24524,-0.36404,-0.42008,-0.33942,0.10189,-0.17002,-0.28308,0.22944,0.1333,0.22209,-0.23955,0.61039,0.06437,0.67022,0.0046,0.06385,0.03992,-0.38968,
0.1969,-0.69546,-0.20779,-0.35901,0.25775,-0.33038,-0.426,-0.36536,0.06632,-0.21404,-0.27029,0.2327,0.11551,0.17685,-0.20621,0.58689,0.05747,0.69029,0.00288,0.09393,0.03992,-0.38968,
0.04785,-0.67434,-0.15947,-0.34729,0.27695,-0.29352,-0.42086,-0.39803,0.16214,-0.08279,-0.31631,0.24765,0.0972,0.15718,-0.17587,0.59011,0.07807,0.71933,-0.04224,0.06039,0.03992,-0.38968,
0.01556,-0.65529,-0.19446,-0.38856,0.2578,-0.24236,-0.43237,-0.42634,0.12537,-0.09538,-0.32097,0.03697,0.12775,0.17477,-0.26786,0.62491,0.12909,0.75557,-0.03617,0.09697,0.03992,-0.38968,
0.04037,-0.65316,-0.20233,-0.34862,0.26776,-0.21894,-0.40723,-0.4179,0.09312,-0.09524,-0.3163,0.04405,0.10431,0.19444,-0.25582,0.65898,0.1181,0.76728,-0.081,0.0952,0.02588,-0.40534,
0.04702,-0.67675,-0.19273,-0.3232,0.28936,-0.20202,-0.35623,-0.31972,0.07042,-0.06292,-0.34577,0.03783,0.10498,0.18491,-0.24111,0.66193,0.12499,0.72376,-0.09345,0.05722,0.01899,-0.46074,
-0.00153,-0.66251,-0.19224,-0.26612,0.25886,-0.22757,-0.365,-0.24493,0.0498,-0.01621,-0.32309,0.01166,0.09793,0.19871,-0.27011,0.71023,0.11128,0.69669,-0.09389,0.05342,0.02588,-0.40534,
0.02852,-0.70637,-0.16136,-0.27755,0.26908,-0.18198,-0.37748,-0.22239,0.07728,-0.05029,-0.32509,-0.03077,0.06559,0.1987,-0.39618,0.51672,0.13021,0.70643,-0.11433,0.01735,-0.02727,-0.4212,
-0.07437,-0.68523,-0.14688,-0.26518,0.29116,-0.20185,-0.35728,-0.20226,0.04366,-0.0464,-0.32562,-0.05576,0.03789,0.1896,-0.39866,0.52006,0.16001,0.73529,-0.15624,-0.00787,-0.02727,-0.4212,
-0.11536,-0.72774,-0.17464,-0.25801,0.07516,-0.25415,-0.28888,-0.05867,-0.18238,-0.03179,-0.2913,0.05433,-0.00258,0.23549,-0.35102,0.47035,0.12228,0.77103,-0.17636,-0.04989,-0.02727,-0.4212,
-0.12238,-0.76146,-0.20807,-0.21103,0.07829,-0.25491,-0.33174,-0.08097,-0.18026,-0.03768,-0.26582,0.02697,-0.01939,0.24005,-0.31905,0.46026,0.11904,0.79878,-0.22115,-0.02336,-0.02727,-0.4212,
-0.07346,-0.71395,-0.24026,-0.19649,0.07979,-0.2612,-0.32973,-0.09269,-0.19672,-0.06688,-0.29794,0.03971,0.02405,0.22501,-0.3631,0.48772,0.09728,0.83271,-0.21362,-0.0674,-0.02727,-0.4212,
-0.20075,-0.65522,-0.20977,-0.17371,-0.17997,-0.19944,-0.35099,-0.09618,-0.20778,-0.08618,-0.29429,0.05279,0.00533,0.20527,-0.40989,0.51818,0.13758,0.83202,-0.21491,-0.06242,-0.10227,-0.45084,
-0.20637,-0.66652,-0.17991,-0.15033,-0.17453,-0.15569,-0.34589,-0.11142,-0.20875,-0.08883,-0.274,0.06984,0.02342,0.3213,-0.41416,0.5357,0.12135,0.78586,-0.18691,-0.04785,-0.12176,-0.37648,
-0.19282,-0.6353,-0.18808,-0.18774,-0.14512,-0.16968,-0.33232,-0.10521,-0.24961,-0.12716,-0.29424,0.038,0.09874,0.33752,-0.42007,0.51062,0.11494,0.67581,-0.18672,-0.09284,-0.12176,-0.37648,
-0.18469,-0.59856,-0.16682,-0.21061,-0.14631,-0.20692,-0.35112,-0.14078,-0.2935,-0.12136,-0.29843,0.05717,0.11693,0.37489,-0.37404,0.49935,0.15512,0.64294,-0.16252,-0.11737,-0.12176,-0.37648,
-0.18394,-0.58632,-0.20123,-0.25175,-0.13402,-0.385,-0.40006,-0.1621,-0.30585,-0.15194,-0.31654,0.05744,0.16537,0.37247,-0.39038,0.47174,0.16364,0.60138,-0.20044,-0.0792,-0.12176,-0.37648,
-0.19373,-0.58446,-0.1754,-0.25422,-0.13552,-0.43359,-0.29864,-0.06613,-0.35505,-0.19521,-0.32904,0.07053,0.19198,0.36439,-0.43573,0.43894,0.19958,0.57858,-0.24607,-0.11263,-0.12176,-0.37648,
-0.17241,-0.588,-0.19447,-0.27339,-0.07106,-0.38538,-0.32265,-0.07624,-0.30606,-0.23324,-0.36419,0.11996,0.09866,0.36996,-0.43324,0.47223,0.09467,0.707,-0.22507,-0.07899,-0.08516,-0.41308,
-0.16302,-0.62707,-0.24016,-0.2591,-0.07981,-0.3935,-0.33452,-0.05548,-0.31102,-0.24502,-0.35032,0.05796,0.07761,0.36384,-0.45157,0.49403,0.10175,0.7357,-0.22022,-0.11068,-0.02727,-0.4212,
-0.15902,-0.63428,-0.25994,-0.27827,-0.08367,-0.36015,-0.34871,-0.03961,-0.35373,-0.27186,-0.33686,0.04762,0.08349,0.33403,-0.43182,0.50727,0.11949,0.76202,-0.25397,-0.15952,-0.02727,-0.4212,
-0.13221,-0.60076,-0.25892,-0.26714,-0.13028,-0.36154,-0.38619,0.0098,-0.39638,-0.27326,-0.31357,0.02452,0.11092,0.34706,-0.41469,0.52193,0.12191,0.79458,-0.20667,-0.15825,-0.02727,-0.4212,
-0.04961,-0.65843,-0.30063,-0.30138,-0.11959,-0.36447,-0.4057,-0.02942,-0.41443,-0.27739,-0.3186,0.00625,0.14562,0.32049,-0.38953,0.50057,0.12391,0.75773,-0.24522,-0.17168,0.01899,-0.46074,
-0.04952,-0.64978,-0.20671,-0.35452,-0.13202,-0.36874,-0.35612,-0.04718,-0.40567,-0.26364,-0.30848,0.03313,0.16764,0.28273,-0.35942,0.49495,-0.08464,0.6398,-0.21093,-0.12897,0.03992,-0.38968,
-0.05672,-0.68469,-0.21473,-0.3382,-0.11034,-0.38888,-0.35932,-0.03154,-0.35357,-0.26074,-0.34704,0.01439,0.17851,0.319,-0.40008,0.51528,-0.06803,0.64234,-0.23192,-0.16054,0.03992,-0.38968,
0.05468,-0.66874,-0.22477,-0.36314,-0.11399,-0.40628,-0.36094,-0.04492,-0.39297,-0.26556,-0.34981,0.00832,0.18962,0.28143,-0.35908,0.47737,-0.11065,0.6012,-0.20859,-0.16957,0.03992,-0.38968,
0.05267,-0.69374,-0.25821,-0.32821,-0.10779,-0.39964,-0.37865,-0.0753,-0.08669,-0.61688,-0.39491,-0.03115,0.15351,0.27049,-0.39771,0.44124,-0.02629,0.56371,-0.23797,-0.17879,0.03992,-0.38968,
0.05015,-0.67194,-0.18786,-0.31378,-0.12339,-0.37487,-0.35032,-0.03838,-0.15718,-0.6024,-0.43815,-0.06852,0.16918,0.25878,-0.3156,0.47938,-0.02815,0.54093,-0.20686,-0.13431,0.03992,-0.38968,
0.08403,-0.6858,-0.18857,-0.35376,-0.13031,-0.36462,-0.36038,-0.04347,-0.16235,-0.55765,-0.47898,-0.0583,0.1435,0.21376,-0.30647,0.47705,0.00099,0.53537,-0.17834,-0.12127,0.03992,-0.38968,
0.10499,-0.67592,-0.15028,-0.37429,-0.13073,-0.40002,-0.33854,-0.05632,-0.12226,-0.57553,-0.4826,-0.07822,0.16087,0.20437,-0.26413,0.50176,-0.0229,0.51743,-0.19824,-0.1145,0.03992,-0.38968,
0.03911,-0.68468,-0.1465,-0.36323,0.23597,-0.45577,-0.31317,-0.08509,-0.09032,-0.54993,-0.52803,-0.07719,0.25486,0.12105,-0.31018,0.43944,0.02058,0.41337,-0.19323,-0.09176,-0.01688,-0.51008,
0.013,-0.63833,-0.19211,-0.40228,0.24165,-0.42177,-0.34272,-0.12538,-0.09597,-0.54576,-0.54654,-0.11886,0.29294,0.12101,-0.30532,0.4272,0.03271,0.37598,-0.18057,-0.08959,-0.0311,-0.5401,
-0.0597,-0.657,-0.18016,-0.44133,0.21687,-0.46246,-0.31019,-0.09097,-0.08556,-0.56637,-0.58207,-0.12288,0.26734,0.13519,-0.3203,0.45995,0.06321,0.38938,-0.16247,-0.04929,-0.0311,-0.5401,
-0.08967,-0.66729,-0.2355,-0.37181,0.19459,-0.30108,-0.3255,-0.14351,-0.08231,-0.56354,-0.53406,-0.0746,0.2971,0.14843,-0.33781,0.4451,0.0706,0.40567,-0.13424,-0.00984,-0.0311,-0.5401,
-0.13628,-0.68834,-0.20542,-0.33728,0.237,-0.26084,-0.34432,-0.1274,-0.04316,-0.57274,-0.57172,-0.12349,0.30217,0.14442,-0.36617,0.48707,0.08337,0.38845,-0.08793,0.00637,-0.0311,-0.5401,
-0.13279,-0.64475,-0.20932,-0.30503,0.22761,-0.27322,-0.33912,-0.0942,-0.12861,-0.55006,-0.5925,-0.14002,0.30889,0.16102,-0.36808,0.47294,0.06383,0.41512,-0.07014,0.05291,-0.0311,-0.5401,
-0.08826,-0.61077,-0.21289,-0.27438,-0.03454,-0.42902,-0.35454,-0.10498,-0.11693,-0.54625,-0.56317,-0.13255,0.28472,0.16947,-0.39229,0.48807,0.09501,0.43572,-0.10999,0.07304,-0.0307,-0.50405,
-0.09069,-0.63638,-0.21429,-0.25911,0.02692,-0.40528,-0.35273,-0.12715,-0.13091,-0.49608,-0.55678,-0.11432,0.28514,0.16307,-0.4368,0.48036,0.0843,0.48461,-0.13506,0.09946,-0.02727,-0.4212,
-0.13527,-0.60904,-0.22898,-0.25537,0.0506,-0.38186,-0.34161,-0.13307,-0.17033,-0.45586,-0.5757,-0.09338,0.19766,0.29382,-0.40712,0.51252,-0.0319,0.50948,-0.14855,0.10391,-0.02727,-0.4212,
-0.14158,-0.61271,-0.27019,-0.28477,0.05176,-0.36861,-0.32581,-0.09559,-0.17853,-0.44325,-0.57237,-0.05933,0.17383,0.29667,-0.39392,0.51661,-0.0316,0.50743,-0.11508,0.11058,-0.02727,-0.4212,
-0.05642,-0.63761,-0.22802,-0.31946,0.09243,-0.40131,-0.33738,-0.10648,-0.21519,-0.46024,-0.61906,-0.04944,0.1401,0.30935,-0.37514,0.47203,-0.08105,0.54834,-0.1469,0.13226,0.01899,-0.46074,
-0.05458,-0.63562,-0.23308,-0.36753,0.06687,-0.35366,-0.35732,-0.09826,-0.17464,-0.42612,-0.64885,-0.02401,0.14703,0.34451,-0.3435,0.4588,-0.00455,0.65199,-0.10519,0.12155,0.03992,-0.38968,
0.05623,-0.66455,-0.27014,-0.32855,0.07285,-0.31752,-0.34528,-0.13922,-0.10947,-0.42244,-0.59987,-0.04944,0.11096,0.35597,-0.37779,0.44904,0.0436,0.64468,-0.08295,0.1325,0.03992,-0.38968,
